flare_type,start,precise_start,start_rate,peak,peak_rate,background_level,decay,decay_rate
2.6X,0.00000000,-0.12752635,3521.31929036,240.00000000,6075.81939860,240.00000053,6075.81939860,3521.31929036
8.3X,3432.00000000,3756.04054875,6586.62686564,5154.00000000,11773.75900391,5282.42023657,11821.66327474,3521.31929036
7.8X,5994.00000000,4035.15121505,9962.26480632,6474.00000000,11358.35234782,6603.87316714,11326.85320638,3521.31929036
12.6X,7074.00000000,6727.40368671,8538.27244059,7674.00000000,16154.67648356,7792.81916567,15950.75131266,3521.31929036
3.5X,14286.00000000,6625.43049380,6226.94570231,15066.00000000,7041.22465820,16352.52425844,7020.79930054,3521.31929036
3.7X,21737.00000000,17171.09790818,5732.35510091,25160.00000000,7221.38793986,25160.00000000,7221.38793986,3521.31929036
4.3X,25460.00000000,13986.45347892,7247.61761393,26300.00000000,7804.41858521,26443.38318998,7807.16604736,3521.31929036
5.8X,26840.00000000,23917.86023635,7817.38197103,27740.00000000,9299.79635905,27877.14641436,9280.42973633,3521.31929036
7.1X,31479.00000000,30134.72140917,8248.69843709,32079.00000000,10571.99435913,32211.35346398,10538.63673747,3521.31929036
7.5X,32439.00000000,30588.13454969,9904.30747803,32919.00000000,11070.09378092,33049.54336136,11097.04946208,3521.31929036
4.0X,39592.00000000,35851.93582115,7085.34837809,40072.00000000,7506.93756917,40216.96895704,7501.90142293,3521.31929036
5.7X,42592.00000000,25587.34331875,6961.65351603,45300.00000000,9269.42132935,45437.06077403,9268.24438273,3521.31929036
8.1X,45720.00000000,36558.34091294,8380.87394613,47160.00000000,11623.19799967,47288.94576478,11608.83737061,3521.31929036
4.6X,49800.00000000,46897.63528356,7826.85309977,50100.00000000,8132.90111938,51552.96338235,8153.25060140,3521.31929036
6.8X,54165.00000000,52872.40271429,7990.40853109,55005.00000000,10276.75145752,55138.27353468,10249.37192383,3521.31929036
7.6X,55605.00000000,53838.99506062,9249.58764160,56265.00000000,11124.02813558,56395.57888936,11065.70203369,3521.31929036
6.0X,59802.00000000,55462.41881202,7761.39638631,61122.00000000,9552.63121257,61257.82972299,9539.51749268,3521.31929036
4.2X,63582.00000000,26959.91790980,6670.33031820,66155.00000000,7689.34358805,66299.43611086,7588.58543172,3521.31929036
4.1X,68735.00000000,66156.53657123,7115.88116659,69155.00000000,7596.03388428,69299.44650428,7611.45585205,3521.31929036
7.2X,74541.00000000,73457.70971935,7302.67418050,75621.00000000,10709.85277344,75752.85034343,10656.47957031,3521.31929036
7.3X,80463.00000000,76753.72918023,7549.74650879,82083.00000000,10812.08002930,82214.43550822,10794.95266846,3521.31929036
7.8X,82683.00000000,79196.88356827,10394.30517415,83223.00000000,11328.63554769,83352.90232682,11292.89031576,3521.31929036